State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5024279,5048733,5056005
Alaska,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,733391,735707,731721
Arizona,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,7151502,7227450,7408017
Arkansas,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,3011524,3021085,3042231
California,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,39538223,39766650,38959247
Colorado,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,5773714,5848166,5855078
Connecticut,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,3605944,3609129,3609924
Delaware,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764,989948,999149,1012615
District of Columbia,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,689545,698327,657185
Florida,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,21538187,21811875,22040323
Georgia,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,10711908,10814334,10852484
Hawaii,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,1455271,1464768,1433336
Idaho,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,1839106,1866258,1981332
Illinois,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,12812508,12810696,12518144
Indiana,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6785528,6815701,6831167
Iowa,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070,3190369,3204770,3196911
Kansas,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,2937880,2946356,2928419
Kentucky,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673,4505836,4522483,4519315
Louisiana,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794,4657757,4670195,4576882
Maine,1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212,1362359,1365759,1381441
Maryland,5788645,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680,6177224,6217591,6157731
Massachusetts,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,7029917,7078146,6962372
Michigan,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,10077331,10096700,10032720
Minnesota,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,5706494,5746751,5702253
Mississippi,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2961279,2960677,2940820
Missouri,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,6154913,6171512,6180523
Montana,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1084225,1093706,1125473
Nebraska,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,1961504,1975020,1966441
Nevada,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,3104614,3145020,3201212
New Hampshire,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,1377529,1383635,1405243
New Jersey,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,9288994,9338704,9242109
New Mexico,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,2117522,2123356,2113550
New York,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,20201249,20283564,19415392
North Carolina,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,10439388,10529778,10678831
North Dakota,674715,685225,701176,722036,737401,754066,754434,754942,758080,762062,779094,789744,770221
Ohio,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100,11799448,11825742,11767059
Oklahoma,3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971,3959353,3980153,4018931
Oregon,3837491,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737,4237256,4277874,4259743
Pennsylvania,12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989,13002700,13032732,12916089
Rhode Island,1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361,1097379,1101860,1094843
South Carolina,4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714,5118425,5167731,5259222
South Dakota,816166,823579,833566,842316,849129,853988,862996,872868,878698,884659,886667,893916,905404
Tennessee,6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174,6910840,6967314,7059618
Texas,25241971,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881,29145505,29545499,29947238
Utah,2775332,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958,3271616,3322389,3426431
Vermont,625879,627049,626090,626210,625214,625216,623657,624344,624358,623989,643077,644811,647378
Virginia,8023699,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519,8631393,8694430,8662151
Washington,6742830,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893,7705281,7803355,7765004
West Virginia,1854239,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147,1793716,1787788,1773866
Wisconsin,5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434,5893718,5914391,5903573
Wyoming,564487,567299,576305,582122,582531,585613,584215,578931,577601,578759,576851,578173,581813
